Model,RMSE_Test
MLP,0.000601648889375217
XGBoost,0.0006040596483925567
Random_Forest,0.0006067566963158189
LSTM,0.0006176129509513396
Linear_Regression,0.0006208208679233403
KNN,0.0006244633826974981
Ridge_Regression,0.0006379861368392147
