Model,Train,Test
XGBoost,0.00010870371512113805,0.00016626319928881355
KNN,0.0,0.00016762268287814685
LSTM,0.0001278619663273103,0.00016780481809145625
Random_Forest,9.90494455779491e-05,0.00017482488749069757
MLP,0.00014126499078270037,0.00017832821387686555
Linear_Regression,0.00014180502953370987,0.00018491197610271323
Ridge_Regression,0.00015698201883174658,0.00018596044062812463
