Model,Type,RMSE_Train,MAE_Train,RMSE_Val,MAE_Val,RMSE_Test,MAE_Test
XGBoost,Classical,0.00021239009473964968,0.00010870371512113805,0.00015595336078447593,7.564645784950055e-05,0.0006040596483925567,0.00016626319928881355
Random_Forest,Classical,0.00019682388461693474,9.90494455779491e-05,0.00016373368193823868,7.688110264980325e-05,0.0006067566963158189,0.00017482488749069757
Linear_Regression,Classical,0.000360156705759899,0.00014180502953370987,0.00016260281594509892,8.396378992400045e-05,0.0006208208679233403,0.00018491197610271323
KNN,Classical,0.0,0.0,0.0001587657667459112,7.250118881427117e-05,0.0006244633826974981,0.00016762268287814685
Ridge_Regression,Classical,0.0003803436553491661,0.00015698201883174658,0.0001655780620729177,9.838172460382448e-05,0.0006379861368392147,0.00018596044062812463
LSTM,DeepLearning,0.0002907382140752486,0.00012033517089783934,0.0001556821259561471,7.095317973371664e-05,0.0006496613775164578,0.0001748475641137363
MLP,DeepLearning,0.00029579893688946705,0.00012773498441909171,0.00015272835859832752,7.370445439078648e-05,0.0006509545421168395,0.00017692536803983562
